time,north_ft,east_ft,up_ft,speed_ftps,phi_rad,theta_rad,psi_rad
0,-11003.7494264875,17691.6108984587,4529.062248917,219.415318940956,0,-0.0206045843786735,0.184410538412185
0.1,-10982.1845025263,17695.6333994722,4528.6101847605,219.415318940956,3.86912724081867e-13,-0.0258405721346564,0.184410538412185
0.2,-10960.6222010297,17699.6554113179,4528.04326611968,219.415318940956,7.00700324956325e-13,-0.0310765598906394,0.184410538412188
0.3,-10939.0631131393,17703.6768237303,4527.3615085369,219.415318940956,8.89040825992364e-13,-0.0316040958193527,0.184410538412198
0.4,-10917.5043818023,17707.6981696348,4526.66818169194,219.415318940956,1.01460137643961e-12,-0.031604100169498,0.184410538412211
0.5,-10895.9456504682,17711.7195155388,4525.97485475157,219.415318940956,1.10325068443083e-12,-0.031604100169498,0.184410538412226
0.6,-10874.3869191342,17715.7408614428,4525.28152781121,219.415318940956,1.16583966365696e-12,-0.031604100169498,0.184410538412242
0.7,-10852.8281878001,17719.7622073468,4524.58820087084,219.415318940956,1.21002929592072e-12,-0.031604100169498,0.184410538412259
0.8,-10831.2694564661,17723.7835532508,4523.89487393048,219.415318940956,1.2412284562801e-12,-0.031604100169498,0.184410538412277
0.9,-10809.710725132,17727.8048991548,4523.20154699011,219.415318940956,1.26325596719761e-12,-0.031604100169498,0.184410538412295
1,-10788.151993798,17731.8262450588,4522.50822004975,219.415318940956,2.87840561337372e-11,-0.0315613458244466,0.184410538412314
1.1,-10766.5932333435,17735.8475963946,4521.81583073739,219.415318940956,4.82156387176305e-11,-0.0315613458533283,0.184410538412736
1.2,-10745.034472889,17739.8689477304,4521.12344142439,219.415318940956,6.19349110394747e-11,-0.0315613458533283,0.184410538413444
1.3,-10723.4757124346,17743.8902990662,4520.4310521114,219.415318940956,7.16211232899211e-11,-0.0315613458533283,0.184410538414353
1.4,-10701.9169519801,17747.9116504021,4519.7386627984,219.415318940956,7.84598757805551e-11,-0.0315613458533283,0.184410538415404
1.5,-10680.3581915257,17751.933001738,4519.04627348541,219.415318940956,8.32882374165492e-11,-0.0315613458533283,0.184410538416555
1.6,-10658.7994310712,17755.9543530739,4518.35388417241,219.415318940956,8.66972036161403e-11,-0.0315613458533283,0.184410538417778
1.7,-10637.2406706168,17759.9757044098,4517.66149485942,219.415318940956,8.91040346337928e-11,-0.0315613458533283,0.18441053841905
1.8,-10615.6819101624,17763.9970557458,4516.96910554643,219.415318940956,9.08033285570441e-11,-0.0315613458533283,0.184410538420358
1.9,-10594.1231497079,17768.0184070818,4516.27671623343,219.415318940956,9.20030803536681e-11,-0.0315613458533283,0.18441053842169
2,-10572.5643892535,17772.0397584178,4515.58432692044,219.415318940956,4.52924122313034e-09,-0.0367973336093113,0.184410538422558
2.1,-10551.0094881775,17776.0603898647,4514.77711924596,219.415318940956,8.12755565904079e-09,-0.0420333213652943,0.184410538465296
2.2,-10529.4590374185,17780.0801911959,4513.85511534002,219.415318940956,1.0296214471354e-08,-0.0426745150944494,0.184410538579354
2.3,-10507.9091722493,17784.0998832996,4512.91905527844,219.415318940956,1.17223856387992e-08,-0.0426745237842802,0.184410538730455
2.4,-10486.3593070886,17788.1195754051,4511.98299502636,219.415318940956,1.27290704583795e-08,-0.0426745237842802,0.184410538902485
2.5,-10464.8094419287,17792.1392675143,4511.04693477428,219.415318940956,1.34396556653474e-08,-0.0426745237842802,0.184410539089289
2.6,-10443.2595767695,17796.1589596275,4510.1108745222,219.415318940956,1.39412340407641e-08,-0.0426745237842802,0.184410539286521
2.7,-10421.7097116111,17800.178651745,4509.17481427012,219.415318940956,1.42952814712745e-08,-0.0426745237842802,0.184410539491114
2.8,-10400.1598464536,17804.1983438669,4508.23875401804,219.415318940956,1.45451917329496e-08,-0.0426745237842802,0.184410539700902
