time,north_ft,east_ft,up_ft,speed_ftps,phi_rad,theta_rad,psi_rad
0,14191.1815630954,-3751.85651343626,5144.70112869268,77.9044460662159,0.279294816054489,0.0842184711568002,0.775502313382056
0.1,14196.7247651847,-3746.42194922208,5145.35645271057,77.8519880995718,0.227694315366423,0.0760552977230536,0.78500670347406
0.2,14202.2159665649,-3740.93504533033,5145.94798765886,77.7995301329276,0.175895337577852,0.0688530235472911,0.792916764272131
0.3,14207.6627707469,-3735.4057144143,5146.48323779933,77.7470721662835,0.123966223539973,0.0659811146937946,0.799761172863369
0.4,14213.0690038454,-3729.84190769431,5146.99584951575,77.6946141996394,0.0719068381482685,0.066024041597728,0.804927225000726
0.5,14218.4427784841,-3724.25403515403,5147.50844815246,77.6421562329953,0.0197040077659742,0.0660687137418855,0.807915726389981
0.6,14223.7961969859,-3718.65392825897,5148.02104678,77.5896982663512,0.0033948217238021,0.0661134475666648,0.808733886465445
0.7,14229.141402212,-3713.0532464693,5148.53364540722,77.5372402997071,0.000583354527830426,0.0661582420544065,0.808874925715235
0.8,14234.482188294,-3707.45561455866,5149.04624403412,77.484782333063,9.99173211987098e-05,0.0662030973279047,0.808899177740638
0.9,14239.819209527,-3701.86165693114,5149.5588426607,77.4323243664189,1.70579754359985e-05,0.0662480135110623,0.808903334457266
1,14245.152578419,-3696.27148095194,5150.07144128696,77.4060953830968,0.0524170990085149,0.0610120257437676,0.808903954296358
1.1,14250.4859162483,-3690.68133059341,5150.54341860814,77.3798663997747,0.104946335889093,0.0598143644134929,0.811023488828228
1.2,14255.8059757979,-3685.08138098888,5151.00598542031,77.3536374164527,0.157608485112383,0.0598343011274484,0.815408816815727
1.3,14261.0996253672,-3679.46006788289,5151.46854938087,77.3274084331306,0.210404284494043,0.0598546206928867,0.822027689981279
1.4,14266.3541637874,-3673.80576496179,5151.93111334041,77.3011794498086,0.263336519575477,0.059874954197935,0.830925131875515
1.5,14271.5564145422,-3668.10687514784,5152.39367729993,77.2749504664865,0.289546542527196,0.0598953015311963,0.842160773123333
