time,north_ft,east_ft,up_ft,speed_ftps,phi_rad,theta_rad,psi_rad
0,-3334.48690908142,10889.3575721737,3970.8325591191,166.444788890687,0,-0.0761366190909135,3.70534868304479
0.1,-3348.51496400121,10880.4891157264,3969.5665287486,166.493033263619,1.17239551400417e-13,-0.0813726068468965,3.70534868304479
0.2,-3362.54128791432,10871.6217536117,3968.21322617171,166.541277636551,1.92948759408673e-13,-0.083067075501225,3.70534868304479
0.3,-3376.56971722975,10862.7530604737,3966.83140688775,166.589522009483,2.35172012039008e-13,-0.0830425837601428,3.70534868304479
0.4,-3390.60223896931,10853.8817801284,3965.44959391294,166.637766382415,2.6100776591128e-13,-0.083018486287571,3.7053486830448
0.5,-3404.63885268067,10845.0079128618,3964.06778093621,166.686010755347,2.7683152113602e-13,-0.0829944027016033,3.7053486830448
0.6,-3418.67955835576,10836.1314586791,3962.68596795942,166.734255128279,2.86538182277311e-13,-0.0829703331009896,3.70534868304481
0.7,-3432.72435598637,10827.2524175854,3961.30415498256,166.782499501211,2.92506751193945e-13,-0.0829462774735053,3.70534868304481
0.8,-3446.77324556433,10818.3707895859,3959.92234200563,166.830743874143,2.96190588247748e-13,-0.082922235806972,3.70534868304482
0.9,-3460.82622708144,10809.4865746857,3958.54052902863,166.878988247075,2.98477732875474e-13,-0.0828982080892256,3.70534868304482
1,-3474.88330052954,10800.5997728901,3957.15871605157,166.927232620007,-2.95701257180885e-07,-0.082935790358269,3.70534868304483
1.1,-3488.94439393064,10791.710429703,3955.77587840015,166.97547699294,-4.76706330693921e-07,-0.082911754809162,3.70534867733367
1.2,-3503.0095793389,10782.8184996848,3954.3930410444,167.023721365872,-5.87557184738503e-07,-0.0828877509659032,3.70534866812925
1.3,-3517.07885675646,10773.9239829029,3953.0102036885,167.071965738804,-6.55489992028026e-07,-0.0828637610281882,3.70534865678777
1.4,-3531.15222619424,10765.0268793926,3951.62736633253,167.120210111736,-6.97162175835616e-07,-0.082839784989091,3.70534864413865
1.5,-3545.22968765577,10756.1271891775,3950.24452897649,167.168454484668,-7.22763094575045e-07,-0.0828158228365212,3.70534863068927
1.6,-3559.31124114011,10747.2249122743,3948.86169162039,167.2166988576,-7.38526734510873e-07,-0.0827918745584043,3.70534861675003
1.7,-3573.39688664354,10738.320048695,3947.47885426422,167.264943230532,-7.48267834073938e-07,-0.0827679401426795,3.70534860251089
1.8,-3587.4866241607,10729.4125984491,3946.09601690798,167.313187603464,-7.54321160276171e-07,-0.0827440195773003,3.70534858808811
1.9,-3601.58045368515,10720.5025615444,3944.71317955168,167.361431976396,-7.58115943144665e-07,-0.0827201128502338,3.70534857355284
2,-3615.67837520986,10711.5899379879,3943.33034219531,167.409676349328,-7.56154635591142e-07,-0.0825080769277725,3.70534855880554
2.1,-3629.78060838987,10702.6745889191,3941.95064379585,167.45792072226,-7.57915568702076e-07,-0.0824843084890287,3.70534854424344
2.2,-3643.88693342521,10693.756653291,3940.57094446053,167.506165095192,-7.59079505929945e-07,-0.0824604977156299,3.70534852965159
2.3,-3657.9973503736,10684.8361310677,3939.19124512541,167.554409468124,-7.59878403101916e-07,-0.0824367007171088,3.70534851504155
2.4,-3672.11185922721,10675.9130222548,3937.81154579023,167.602653841056,-7.60453528064268e-07,-0.0824129174652462,3.70534850042035
2.5,-3686.23045997818,10666.9873268575,3936.43184645498,167.650898213988,-7.60891454126109e-07,-0.0823891479481255,3.7053484857923
2.6,-3700.35315261859,10658.0590448812,3935.05214711966,167.69914258692,-7.61245245635775e-07,-0.0823653921538388,3.70534847116004
2.7,-3714.47993714055,10649.1281763312,3933.67244778428,167.747386959852,-7.61547433859258e-07,-0.0823416500704921,3.7053484565252
2.8,-3728.61081353611,10640.1947212126,3932.29274844884,167.795631332784,-7.61817965831363e-07,-0.0823179216862052,3.70534844188876
2.9,-3742.74578179737,10631.2586795307,3930.91304911332,167.843875705716,-7.62069074606782e-07,-0.0822942069891117,3.70534842725133
3,-3756.88484191639,10622.3200512907,3929.53334977774,167.892120078648,1.53088873105172e-09,-0.0770582192331413,3.70534840862769
3.1,-3771.0338803246,10613.3751152054,3928.24088298941,167.94036445158,-2.91922967436991e-07,-0.0722832118769106,3.70534840866438
3.2,-3785.19204115442,10604.42441198,3927.02801291888,167.988608824512,-4.72183289674972e-07,-0.0722646437850773,3.70534840306177
3.3,-3799.35428830017,10595.4711255215,3925.8151055346,168.036853197444,-5.83033611636766e-07,-0.0722438593637174,3.70534839400114
3.4,-3813.52062407114,10586.5152544387,3924.60219816104,168.085097570376,-6.51253432935382e-07,-0.0722230875477562,3.70534838281664
3.5,-3827.69104847961,10577.556798766,3923.38929078742,168.133341943308,-6.93277494267805e-07,-0.072202327683373,3.70534837032704
3.6,-3841.86556153118,10568.5957585259,3922.17638341374,168.18158631624,-7.19201772988001e-07,-0.0721815797604321,3.70534835703534
3.7,-3856.04416322697,10559.6321337338,3920.96347604,168.229830689172,-7.35229417823306e-07,-0.0721608437686242,3.70534834325057
3.8,-3870.22685356533,10550.6659244007,3919.7505686662,168.278075062104,-7.45172443230511e-07,-0.0721401196976515,3.70534832916265
3.9,-3884.41363254294,10541.6971305348,3918.53766129235,168.326319435036,-7.51373865689348e-07,-0.0721194075372285,3.7053483148883
4,-3898.60450015541,10532.7257521428,3917.32475391844,168.374563807968,1.31992771158588e-09,-0.0668834197812578,3.70534829657045
4.1,-3912.8046101545,10523.7485311354,3916.19944668338,168.4228081809,-2.89549076697891e-07,-0.0624873594647723,3.70534829660151
4.2,-3927.01283424972,10514.7661804464,3915.14770179242,168.471052553832,-4.68640678188171e-07,-0.0624713285350561,3.7053482910611
4.3,-3941.2251425654,10505.7812478489,3914.09592517906,168.519296926764,-5.79015247290199e-07,-0.0624534201636387,3.70534828209553
4.4,-3955.44153680598,10496.7937323336,3913.04414857477,168.567541299696,-6.47090315656335e-07,-0.0624355226055086,3.70534827102155
4.5,-3969.6620169854,10487.8036339337,3911.99237197043,168.615785672628,-6.89116029687043e-07,-0.0624176353089322,3.70534825864915
4.6,-3983.88658311083,10478.8109526707,3910.94059536604,168.664030045561,-7.15096865565685e-07,-0.0623997582652369,3.70534824547698
4.7,-3998.11523518496,10469.815688559,3909.8888187616,168.712274418493,-7.31193225509891e-07,-0.0623818914656041,3.70534823181212
4.8,-4012.34797320773,10460.8178416085,3908.83704215711,168.760518791425,-7.41199146706474e-07,-0.0623640349012254,3.70534821784367
4.9,-4026.58479717738,10451.8174118266,3907.78526555257,168.808763164357,-7.47451699798892e-07,-0.0623461885633024,3.70534820368812
5,-4040.82570709111,10442.8143992189,3906.73348894798,168.857007537289,-7.53123713958251e-07,-0.0625072068490631,3.70534818955118
5.1,-4055.07054371153,10433.8089044541,3905.67869814254,168.905251910221,-7.54014495583692e-07,-0.0624892793361916,3.70534817517605
5.2,-4069.31946635959,10424.8008268155,3904.62390818526,168.953496283153,-7.54647733388329e-07,-0.062471412397661,3.70534816078806
5.3,-4083.57247498601,10415.7901663345,3903.56911822769,169.001740656085,-7.55121379225056e-07,-0.0624535556654798,3.7053481463921
5.4,-4097.82956958638,10406.7769230143,3902.51432827007,169.049985029017,-7.55496586132636e-07,-0.0624357091453194,3.70534813199123
5.5,-4112.09075015627,10397.7610968579,3901.4595383124,169.098229401949,-7.55811063359436e-07,-0.0624178728284121,3.70534811758732
5.6,-4126.35601669122,10388.7426878685,3900.40474835468,169.146473774881,-7.56088068113045e-07,-0.0624000467060047,3.70534810318152
5.7,-4140.62536918676,10379.721696049,3899.34995839691,169.194718147813,-7.56341946846461e-07,-0.0623822307693538,3.70534808877456
5.8,-4154.89880763844,10370.6981214024,3898.29516843909,169.242962520745,-7.56581550893718e-07,-0.062364425009726,3.70534807436688
