ID,Time,lat,lon,alt_AGL_ft,speed_kts,heading_deg,dh_fpm,alt_MSL_ft
253,0,42.2035041043864,-71.6079493857485,5347.42231734171,65.37935628146687,0.0,328.56937504945,5870.12112557516
253,1,42.2033443110697,-71.6082926520572,5350.69488961409,64.93562165931716,-6.30521112638789,328.569375049451,5876.07782404497
253,2,42.2031561361267,-71.6086069099415,5355.19125144443,64.93562165931716,-13.585911039194018,328.569375049451,5882.09485838935
253,3,42.2029398570748,-71.6088865523671,5360.92252125823,64.93562165931716,-20.871123611854095,329.7619157937949,5888.0830271244
253,4,42.2027088758817,-71.6091434267294,5370.15139484197,64.93562165931716,-21.18599398489388,670.0639637387807,5896.60218292102
253,5,42.2024760010904,-71.6093950526286,5383.78958334645,64.93562165931716,-24.47069187022711,716.043564402992,5908.92565988749
253,6,42.2022255083863,-71.6096134765592,5398.544704077,64.93562165931716,-31.785105979253153,716.043564402992,5921.31188215315
253,7,42.2019563571694,-71.6097872176407,5414.33049803216,64.93562165931716,-38.95146274753549,677.3873996092229,5933.64974169806
253,8,42.2016730322024,-71.6099147554421,5430.28278536466,64.93562165931716,-46.181294864298856,677.3996867406314,5945.26683117449
253,9,42.2013799896779,-71.609993086105,5446.86203422604,64.93562165931716,-53.49170508818185,677.3996867406314,5956.84730396792
253,10,42.2010818989523,-71.6100206188146,5463.77285313287,64.93562165931716,-60.80211531206478,677.3996867406314,5968.36259615049
253,11,42.2007835612237,-71.6099976549342,5480.72260246004,64.93562165931716,-67.86322226228053,677.3996867406314,5979.81009137258
253,12,42.2004882691309,-71.6099346596614,5497.46929081166,64.93562165931716,-71.3646807846017,677.3996867406314,5991.20190988854
253,13,42.2001958728464,-71.6098506130209,5513.92417210142,64.93562165931716,-74.5209092329678,677.3996867406314,6002.56389883161
253,14,42.1999073916672,-71.6097448483022,5529.98634972949,64.93562165931716,-77.71091759152941,677.3996867406314,6013.89450545609
253,15,42.1996237251776,-71.6096176544165,5545.56327514334,64.93562165931716,-80.90092904635723,677.3996867406314,6025.19354764745
253,16,42.1993457525602,-71.6094694251801,5560.5696370137,64.93562165931716,-84.09094050146696,677.3996867406314,6036.46099680662
253,17,42.1990743353411,-71.6093006195789,5574.92833421847,64.93562165931716,-87.28095195657669,677.3996867406314,6047.69692225382
253,18,42.1988103147208,-71.6091117603398,5588.57152699142,64.93562165931716,-90.4037485299591,637.1110191255352,6058.90149097145
253,19,42.1985537440927,-71.6089034128205,5598.70041478053,64.93562165931716,-93.65712185983581,471.58225458919685,6067.3237580955
253,20,42.1983062310211,-71.608675730999,5607.32251170307,64.93562165931716,-96.8426036617274,471.58225458919685,6075.0359115079
253,21,42.1980710679057,-71.6084256073078,5615.00034005233,64.93562165931716,-101.79066640463446,421.6530643088347,6082.71027578041
253,22,42.1978536526662,-71.6081476426772,5620.67213425127,64.93562165931716,-107.19286167914227,417.16628234875543,6089.4365789704
253,23,42.1976561997625,-71.6078439037918,5625.22491018268,64.93562165931716,-112.45798227689286,417.16628234875543,6096.10816184431
253,24,42.1974802957482,-71.6075170765114,5628.70881215269,64.96260051317013,-117.72262291621497,417.16621019366653,6102.7350933142
253,25,42.1973270729803,-71.607169122151,5631.18887755534,65.23238905169929,-122.98423710802412,417.166210820462,6109.3192798011
253,26,42.197198312638,-71.6068018290077,5632.74977425456,65.50217759022904,-128.55580994113194,417.1662114097577,6115.86197261512
253,27,42.1970963215812,-71.6064178355515,5633.51806023951,65.77196612875878,-134.1454513723544,417.1662119917961,6122.36522009596
253,28,42.1970223121586,-71.606020672628,5633.67025923882,66.04175466728852,-139.58198424790194,364.4872257730882,6128.83298393711
253,29,42.1969766039657,-71.6056136951817,5630.34211902559,66.28456435196469,-145.34369666891433,203.17727505209723,6132.2086228244
253,30,42.1969611821359,-71.6052017771504,5626.33061259314,66.28456435196469,-150.92796097655895,203.17727505209723,6135.05274754763
253,31,42.1969756324605,-71.6047897936738,5622.39354423176,66.32868440030947,-156.51165944016248,203.17718499427383,6137.87775330991
253,32,42.1970199804381,-71.6043801582936,5618.73943563118,66.76988488375663,-162.090040548296,203.17718624071938,6140.68685879931
253,33,42.1970942106241,-71.603975589922,5621.23431772474,67.21108536720318,-167.66826826751813,203.177187403776,6143.48372378573
253,34,42.1971980054529,-71.6035800470173,5630.11896556731,67.65228585065034,-173.2464491586252,203.177188544133,6146.27386051416
253,35,42.1973238790025,-71.6031931085063,5638.88487096034,68.09348633409749,-174.77649535933583,203.1771896623755,6149.06162997708
253,36,42.1974526170068,-71.602804848593,5647.5151923355,68.53468681754406,-174.7779694568633,239.6294206963186,6151.84639330581
253,37,42.1975820589168,-71.6024144555207,5658.90534546326,68.9758873009912,-174.7779697808589,410.5053984087337,6157.53031606972
253,38,42.1977123810004,-71.6020214050801,5669.32523621728,69.41708778443777,-174.777969780887,307.29309838105263,6162.37879021466
253,39,42.197843551372,-71.6016257916838,5679.26765013599,69.85828826788493,-174.777969780887,307.2930999485444,6166.88941076398
253,40,42.1979755530382,-71.6012276653718,5689.06314410762,70.29948875133208,-174.777969780887,307.2931014865704,6171.39681683481
253,41,42.1981083859623,-71.600827026144,5698.70834953015,70.74068923477864,-174.777969780887,307.2931029958617,6175.90102108195
253,42,42.1982420501079,-71.6004238739994,5708.19987666825,71.1818897182258,-174.777969780887,307.2931044771349,6180.40203623474
253,43,42.1983765454383,-71.6000182089363,5717.53431466398,71.62309020167237,-174.777969780887,307.29310593107436,6184.89987510815
