time,north_ft,east_ft,up_ft,speed_ftps,phi_rad,theta_rad,psi_rad
0,0,0,3116.26023663012,124.336882268781,0,0.0384264451676162,5.86030681341551
0.1,11.3300522466712,-5.0988582336372,3116.73790149609,124.336882268781,8.17124146124115e-14,0.0379393637456756,5.86030681341551
0.2,22.6603153161618,-10.1978113437715,3117.20951455782,124.336882268781,1.21182331707913e-13,0.0379393682868806,5.86030681341551
0.3,33.9905783836994,-15.2967644530268,3117.68112767597,124.336882268781,1.40247675234588e-13,0.0379393682868806,5.86030681341551
0.4,45.3208414512371,-20.3957175622821,3118.15274079413,124.336882268781,1.49456896054625e-13,0.0379393682868806,5.86030681341552
0.5,56.6511045187747,-25.4946706715373,3118.62435391228,124.336882268781,1.53905268463628e-13,0.0379393682868806,5.86030681341552
0.6,67.9813675863123,-30.5936237807925,3119.09596703044,124.336882268781,1.56053986305871e-13,0.0379393682868806,5.86030681341552
0.7,79.31163065385,-35.6925768900477,3119.56758014859,124.336882268781,1.57091891395884e-13,0.0379393682868806,5.86030681341553
0.8,90.6418937213877,-40.7915299993028,3120.03919326675,124.336882268781,1.57593235478711e-13,0.0379393682868806,5.86030681341553
0.9,101.972156788925,-45.8904831085578,3120.5108063849,124.336882268781,1.57835402023422e-13,0.0379393682868806,5.86030681341554
1,113.302419856463,-50.9894362178129,3120.98241950306,124.336882268781,1.35396091163854e-09,0.0377631078442717,5.86030681341554
1.1,124.632758552219,-56.0884233620001,3121.45184262358,124.336882268781,2.00788790814081e-09,0.0377631084329833,5.86030681345061
1.2,135.963097247901,-61.1874105056766,3121.92126575143,124.336882268781,2.32375431453355e-09,0.0377631084329833,5.86030681350261
1.3,147.293435943848,-66.286397648764,3122.39068887927,124.336882268781,2.47632728091211e-09,0.0377631084329833,5.86030681356279
1.4,158.623774640103,-71.3853847911694,3122.86011200711,124.336882268781,2.55002460863808e-09,0.0377631084329833,5.86030681362692
1.5,169.954113336684,-76.4843719328483,3123.32953513495,124.336882268781,2.58562263260567e-09,0.0377631084329833,5.86030681369295
1.6,181.284452033602,-81.583359073779,3123.79895826279,124.336882268781,2.60281754793705e-09,0.0377631084329833,5.86030681375992
1.7,192.614790730862,-86.6823462139509,3124.26838139064,124.336882268781,2.61112320876594e-09,0.0377631084329833,5.86030681382732
1.8,203.945129428465,-91.7813333533591,3124.73780451848,124.336882268781,2.61513509253942e-09,0.0377631084329833,5.86030681389494
1.9,215.275468126413,-96.8803204920012,3125.20722764632,124.336882268781,2.617072952963e-09,0.0377631084329833,5.86030681396267
2,226.605806824706,-101.979307629876,3125.67665077416,124.334428398142,-0.0339347098364826,0.0391020591131359,5.86030681403395
2.1,237.93533859915,-107.077931627209,3126.16270010974,124.331974527503,-0.050319723666484,0.0391028919224643,5.85942761067884
2.2,249.26015938735,-112.186413625295,3126.6487501992,124.329520656864,-0.0582186128308114,0.0391036640844073,5.85812327006085
2.3,260.578083621526,-117.309561427928,3127.13480028866,124.327066786225,-0.0620213393477013,0.0391044362756548,5.85661372014063
2.4,271.888037747233,-122.449686751459,3127.62085037813,124.324612915586,-0.0638503696862243,0.0391052084974081,5.85500529207382
2.5,283.189486319979,-127.6078946994,3128.1069004676,124.322159044947,-0.0647294001621672,0.0391059807496689,5.85334927091865
2.6,294.482154062693,-132.784708667391,3128.59295055707,124.319705174309,-0.0651514266507212,0.0391067530324391,5.85167035474502
2.7,305.765891393383,-137.980372061876,3129.07900064653,124.31725130367,-0.0653536731474265,0.0391075253457205,5.84998042798308
2.8,317.040609435427,-143.194993630113,3129.565050736,124.314797433031,-0.0654502406297707,0.0391082976895148,5.84828520685538
2.9,328.306248629757,-148.428617371066,3130.05110082547,124.312343562392,-0.0654959978009393,0.039109070063824,5.84658744017036
3,339.562763581401,-153.681256143501,3130.53715091493,124.285350985364,-0.00967135459293276,0.0442229603906361,5.844552824532
3.1,350.80372945971,-158.954516831126,3131.08659839976,124.258358408336,-0.0620831837710817,0.045979190411495,5.84428524781199
3.2,362.039952264998,-164.229221140444,3131.65772698644,124.231365831308,-0.109359747533656,0.0459896361783426,5.8426737195519
3.3,373.265215763764,-169.52087378645,3132.22886113918,124.20437325428,-0.131983882506522,0.0459996379761278,5.83982672909002
3.4,384.4729276418,-174.843304020097,3132.79999529311,124.177380677252,-0.142714835579174,0.0460096440290829,5.83638370773402
3.5,395.659811025026,-180.203123482256,3133.37112944703,124.150388100223,-0.147770148985496,0.0460196544376287,5.83265624856067
3.6,406.824205739336,-185.603427649217,3133.94226360094,124.123395523195,-0.150136016796792,0.0460296692046321,5.82879400521728
3.7,417.965232016918,-191.045625038374,3134.51339775484,124.096402946167,-0.151232414202737,0.046039688332941,5.82486814004882
3.8,429.08238390426,-196.530323018556,3135.08453190873,124.069410369139,-0.151730825814198,0.0460497118254062,5.82091230465943
3.9,440.175333791956,-202.057750490789,3135.6556660626,124.042417792111,-0.15194786833691,0.0460597396848806,5.81694236637489
4,451.243839069005,-207.627957922058,3136.22680021647,123.993340379333,-0.0378534304789637,0.0506412859350748,5.81226502475772
4.1,462.279353931012,-213.246405390704,3136.85445008442,123.944262966555,-0.0903047237651226,0.0514276026441739,5.81125171682687
4.2,473.304361415816,-218.873578087852,3137.49158477953,123.895185553776,-0.140522842338107,0.0514483111886455,5.80889737665306
4.3,484.311718099933,-224.524447331859,3138.12872342205,123.846108140998,-0.164310568436308,0.0514687171296265,5.80521810765683
4.4,495.293845744066,-230.21351683161,3138.76586206607,123.79703072822,-0.175429771256194,0.0514891391446487,5.80090377517403
4.5,506.246972992201,-235.947634549777,3139.40300071001,123.747953315441,-0.180571044736884,0.0515095773795353,5.79628977067286
4.6,517.169183329599,-241.729929525972,3140.04013935387,123.698875902663,-0.182918635076344,0.0515300318536766,5.79153571677098
